fips,name,gcd_funding,pgma,moratorium_june,moratorium,land_score,infra_score,risk_june,risk_sept,rank_june,rank_sept,rank_delta,is_lit,is_peer
48161,Freestone,0,0,0,0,0.959264623092918,1,1,1,1,1,0,TRUE,FALSE
48033,Borden,0,0,0,0,0.933367094052693,1,0.987205839898628,0.987205839898628,2,2,0,TRUE,FALSE
48103,Crane,0,0,0,0,0.999904467010336,0.616453915603514,0.857663026278688,0.857663026278688,3,3,0,FALSE,FALSE
48287,Lee,0,0,0,0,0.94119258152728,0.66809194186969,0.850523934884815,0.850523934884815,4,4,0,FALSE,FALSE
48051,Burleson,0,0,0,0,0.910453145348443,0.700148176063716,0.848912080500235,0.848912080500235,5,5,0,FALSE,FALSE
48081,Coke,0,0,0,0,0.962181229649595,0.622983463594125,0.841791575655019,0.841791575655019,6,6,0,FALSE,FALSE
48289,Leon,0,0,0,0,0.956339362569894,0.62242095163633,0.838667319027168,0.838667319027168,7,7,0,FALSE,FALSE
48431,Sterling,0,0,0,0,0.986665991352746,0.580813002672489,0.836030518346977,0.836030518346977,8,8,0,FALSE,FALSE
48301,Loving,0,0,0,0,0.999085373048677,0.551149925015111,0.82960510620143,0.82960510620143,9,9,0,FALSE,FALSE
48433,Stonewall,0,0,0,0,0.942513305805232,0.614183118139768,0.828348483215902,0.828348483215902,10,10,0,FALSE,FALSE
48313,Madison,0,0,0,0,0.941902247036256,0.613116435044164,0.827594910098368,0.827594910098368,11,11,0,FALSE,FALSE
48059,Callahan,0,0,0,0,0.936073461373838,0.615182955923128,0.825590391640274,0.825590391640274,12,12,0,FALSE,FALSE
48425,Somervell,0,0,0,0,0.875021680239852,0.683844055597549,0.8245038168004,0.8245038168004,13,13,0,FALSE,FALSE
48193,Hamilton,0,0,0,0,0.936311335388955,0.607728610008565,0.822551332905574,0.822551332905574,14,14,0,FALSE,FALSE
48129,Donley,0,0,0,0,0.933492726778616,0.608377927901718,0.821433811803951,0.821433811803951,15,15,0,FALSE,FALSE
48031,Blanco,0,0,0,0,0.980612271350689,0.551649257614183,0.820690281630205,0.820690281630205,16,16,0,FALSE,FALSE
48345,Motley,0,0,0,0,0.935977292669136,0.597949547988399,0.818245318769093,0.818245318769093,17,17,0,FALSE,FALSE
48045,Briscoe,0,0,0,0,0.91765544444643,0.616488885432851,0.817044337627301,0.817044337627301,18,18,0,FALSE,FALSE
48447,Throckmorton,0,0,0,0,0.914320829291667,0.617254555861688,0.815721163730868,0.815721163730868,19,19,0,FALSE,FALSE
48395,Robertson,0,0,0,0,0.888036513925777,0.638650897308244,0.811796294719991,0.811796294719991,20,20,0,FALSE,FALSE
48169,Garza,0,0,0,0,0.91443656666989,0.607400308327891,0.811605516885234,0.811605516885234,21,21,0,FALSE,FALSE
48101,Cottle,0,0,0,0,0.914412093381785,0.603951354546451,0.810132951645953,0.810132951645953,22,22,0,FALSE,FALSE
48417,Shackelford,0,0,0,0,0.958416139803897,0.547324724954917,0.807893481043445,0.807893481043445,23,23,0,FALSE,FALSE
48087,Collingsworth,0,0,0,0,0.883618978858691,0.614743754548178,0.799490314126361,0.799490314126361,24,24,0,FALSE,FALSE
48019,Bandera,0,0,0,0,0.992114347936209,0.460558481113691,0.787799862982604,0.787799862982604,25,25,0,FALSE,FALSE
48269,King,0,0,0,0,0.955053427460911,0.502380565444944,0.78720039710833,0.78720039710833,26,26,0,FALSE,FALSE
48197,Hardeman,0,0,0,0,0.862964278943011,0.606112163818497,0.785631184491599,0.785631184491599,27,27,0,FALSE,FALSE
48461,Upton,0,0,0,0,0.963944075606234,0.482457875965137,0.783156294557878,0.783156294557878,28,28,0,FALSE,FALSE
48275,Knox,0,0,0,0,0.839206652420188,0.622984000536989,0.781038654452181,0.781038654452181,29,29,0,FALSE,FALSE
48407,San Jacinto,0,0,0,0,0.980409833693145,0.438046666053579,0.772484752660475,0.772484752660475,30,30,0,FALSE,FALSE
