fips,rural_raw_value,drinking_water_violations_raw_value,severe_housing_problems_raw_value,severe_housing_cost_burden_raw_value
06061,0.1458124866,0,0.1619410213,0.1573774367
06063,1,1,0.1567436209,0.127293578
06065,0.0547348528,1,0.244103686,0.1864579848
06067,0.0239922274,1,0.2150223152,0.1776718881
06069,0.2273513059,1,0.2238182293,0.1600506971
06071,0.0538146746,1,0.2545780942,0.1953600699
06073,0.043946373,1,0.2536011931,0.2084284372
06075,0,0,0.2360472842,0.1688577421
06077,0.077513401,1,0.2432455467,0.1710574523
06079,0.1908796703,1,0.2114898399,0.2026458265
06081,0.0170516534,1,0.2353240968,0.1844130086
06083,0.0556947453,0,0.283325986,0.2095555448
06085,0.0131888348,1,0.2212585704,0.1573441999
06087,0.1329316513,1,0.2543664162,0.200184365
06089,0.3379155115,1,0.2010096053,0.1696730064
06091,0.9876390606,0,0.1913043478,0.2719854941
06093,0.7091387603,1,0.1766129032,0.1655111698
06095,0.0445631777,1,0.2082275597,0.1830702975
06097,0.1363224462,1,0.2201864012,0.1831093636
06099,0.0817051863,1,0.2320566647,0.1806752119
06101,0.1506528961,0,0.1969117872,0.1572368013
06103,0.5703261481,0,0.2205702648,0.1517422414
06105,1,1,0.1930783242,0.1255462853
06107,0.2005613833,1,0.2501611402,0.1665498255
06109,0.4783710895,0,0.18653971,0.1704181515
06111,0.0336685853,1,0.2327941123,0.1903093406
06113,0.0804794758,1,0.2385053664,0.2020822319
06115,0.2951271836,0,0.2088136854,0.1659442493
08001,0.0404101838,1,0.1814789688,0.156688101
08003,0.3304225696,1,0.185770751,0.1181003302
08005,0.0206359626,0,0.168190091,0.1557312982
08007,0.5784115578,1,0.1655112652,0.1145905024
08009,1,1,0.1253918495,0.1429499675
08011,1,1,0.1800554017,0.1561253561
08013,0.0940264483,1,0.1856871678,0.1915444674
08014,0.0039534758,0,0.1168390707,0.1119923962
08015,0.4356644075,1,0.1709601874,0.1839875112
08017,1,0,0.0633093525,0.0907759883
08019,1,1,0.1016949153,0.1053220036
08021,1,1,0.1647819063,0.1074321944
08023,1,1,0.1591695502,0.134696756
08025,1,0,0.1268656716,0.135042735
08027,1,0,0.1482352941,0.0883977901
08029,0.7374663418,1,0.1720872787,0.1482237648
08031,0.0001453484,0,0.1809986462,0.1628543391
08033,1,0,0.0698689956,0.0526315789
08035,0.0901452045,1,0.1125312695,0.1094019882
08037,0.1851034433,0,0.2242439774,0.2078313253
08039,1,1,0.1074514039,0.106646878
08041,0.102504809,1,0.1592271819,0.1435140907
08043,0.4945340117,0,0.1521987436,0.1240544629
08045,0.3211639783,1,0.1329186823,0.142372134
08047,1,0,0.1863799283,0.162573504
08049,0.6832092639,1,0.1327054795,0.1386185995
08051,0.5727627379,1,0.2014084507,0.1817123642
08053,1,0,0.2159090909,0.183982684
08055,1,1,0.1402550091,0.1288160834
08057,1,0,0.1428571429,0.1109057301
08059,0.0714844487,1,0.1369344609,0.1272843359
08061,1,1,0.1623931624,0.1666666667
08063,1,0,0.1146711636,0.1198979592
08065,0.389725659,0,0.0751341682,0.0764419736
08067,0.6564578166,1,0.1289018639,0.1337908905
08069,0.1024407769,1,0.1630446013,0.1619099668
08071,0.4281690141,0,0.1848673947,0.1566073698
08073,1,0,0.1491712707,0.14445629
08075,0.429672984,0,0.1261034048,0.0998001332
08077,0.126715606,0,0.1573215006,0.1417533149
08079,1,0,0.1298701299,0.1756440281
08081,0.2739993981,1,0.158203125,0.1422161529
08083,0.6662153275,0,0.1276290631,0.1170740845
08085,0.4256425877,1,0.1306413302,0.1334776757
08087,0.3459173508,1,0.1594339623,0.1241477273
08089,0.5830925629,1,0.1364829396,0.1409531502
08091,1,1,0.1587301587,0.1321212121
08093,1,0,0.09972106,0.1016095343
08095,1,0,0.084548105,0.1132075472
08097,0.3296462726,1,0.1534722222,0.1939045428
08099,0.3747812318,1,0.1515837104,0.1165616562
08101,0.1314625183,1,0.17128236,0.1619489206
08103,1,0,0.1305220884,0.0797914996
08105,1,0,0.1029252438,0.1198194501
08107,0.4178178743,1,0.1624566617,0.156045437
08109,1,0,0.2069565217,0.1485969388
08111,1,0,0.1538461538,0.1331444759
08113,0.4317393459,1,0.2461752434,0.190984888
08115,1,0,0.1274509804,0.1234042553
08117,0.1610046691,0,0.1359223301,0.128928217
08119,0.6008093889,1,0.1331122691,0.1295313072
08121,1,0,0.1525,0.1180518793
08123,0.2001361781,1,0.1536144578,0.1377438594
08125,1,0,0.1673101673,0.129405576
09001,,,,
09003,,,,
09005,,,,
09007,,,,
09009,,,,
09011,,,,
09013,,,,
09015,,,,
09110,0.1198097205,1,0.164672676,0.1497005988
09120,0.0285808127,0,0.2273514637,0.2028316565
09130,0.3134280385,1,0.1327197232,0.1316956245
09140,0.0920342114,0,0.1643161674,0.1652900666
09150,0.6240403574,1,0.1211778625,0.1137440758
09160,0.6002417713,1,0.1571618037,0.1391277708
09170,0.0362742709,1,0.1901764533,0.1773356558
09180,0.2611097244,1,0.1434260486,0.1410271309
09190,0.0846218429,1,0.1970847517,0.1826877029
10001,0.2647167186,1,0.150029976,0.1354067893
