fips,k10,rucc,pct_growth_2020_24,sus_water,sus_power,sus_land,med_water,D_operating,D_queued,D,rco_water,rco_power,rco_land,rco_max,rco_sum,dominant_channel,name
48209,1,1,19.7,0.3090529297237,0.359752343520769,0.21110135971782,0.67,0,0,0,0,0,0,0,0,water,Hays
48217,6,6,7.8,0.385790800356522,0.379104347692997,0.37565479597917,0,0,0,0,0,0,0,0,0,water,Hill
48221,1,4,11.4,0.597851624874392,0.371718121021062,0.251703976186802,0.17,0,0,0,0,0,0,0,0,water,Hood
48367,1,1,20.2,0.669448099943162,0.265934103149005,0.330648042833381,0.17,0,0,0,0,0,0,0,0,water,Parker
