fips,k10,rucc,pct_growth_2020_24,sus_water,sus_power,sus_land,med_water,D_operating,D_queued,D,rco_water,rco_power,rco_land,rco_max,rco_sum,dominant_channel
51057,2,8,0.8,0.517193040163415,0.467825743829213,0.454588811732171,0,0,0,0,0,0,0,0,0,water
51061,1,1,3.9,0.303140135432188,0.20614892303897,0.301732861415519,0,0,0,0,0,0,0,0,0,water
51063,1,3,1.2,0.438411444434905,0.3802564956873,0.441884436708467,0,0,0,0,0,0,0,0,0,water
51065,1,3,5.3,0.296082896606632,0.29923278857753,0.323402893263531,0,0,0,0,0,0,0,0,0,water
51067,1,2,2.1,0.74034615534487,0.376874603776082,0.410338704050308,0,0,0,0,0,0,0,0,0,water
51071,10,3,-1.5,0.427764200623068,0.348100484869138,0.444241227708157,0,0,0,0,0,0,0,0,0,water
51073,1,1,3.7,0.663495770979478,0.301102545015195,0.352714626358412,0,0,0,0,0,0,0,0,0,water
51075,1,1,13.5,0.391095888388314,0.212965376374749,0.421608153648972,0,0,0,0,0,0,0,0,0,water
51077,10,9,-0.1,0.411296761336378,0.456882991610064,0.442821491581852,0,0,0,0,0,0,0,0,0,water
51079,1,3,5.5,0.764475007463572,0.31214438784507,0.44404892751852,0,0,0,0,0,0,0,0,0,water
51083,2,6,-1.4,0.387327424812734,0.50249081479103,0.369246282459238,0,0,0,0,0,0,0,0,0,water
51085,1,1,4.6,0.212811108770523,0.224795596946682,0.238928241875185,0,0,0,0,0,0,0,0,0,water
51087,1,1,1.1,0.151821196139977,0.324197073805436,0.123135583211655,0,0,0,0,0,0,0,0,0,water
51091,1,8,4.8,0.38714621510675,0.370581510923052,0.476702226873737,0,0,0,0,0,0,0,0,0,water
51093,1,1,5.8,0.63403407241414,0.289407603785011,0.305572382690868,0,0,0,0,0,0,0,0,0,water
51097,2,1,2.4,0.50275778540884,0.49506325163035,0.496201974988359,0,0,0,0,0,0,0,0,0,water
51099,1,8,7.4,0.762092652831273,0.210129798966391,0.444093275513406,0,0,0,0,0,0,0,0,0,water
51101,1,1,7.3,0.419255802491455,0.298192995639983,0.452160134909111,0,0,0,0,0,0,0,0,0,water
51103,1,9,1.4,0.429259063044101,0.455115584837933,0.446837801231164,0,0,0,0,0,0,0,0,0,water
51105,4,8,-1.5,0.47401517903963,0.556679738756487,0.444510590093463,0,0,0,0,0,0,0,0,0,water
51109,1,8,11.4,0.770426907826913,0.336011514115732,0.443852245152834,0,0,0,0,0,0,0,0,0,water
51111,2,9,0.9,0.432900107665226,0.416431112911903,0.453432960200923,0,0,0,0,0,0,0,0,0,water
51113,1,8,2.8,0.785300081599804,0.31652984761599,0.460128899266166,0,0,0,0,0,0,0,0,0,water
51115,1,1,1,0.404280341558531,0.341913080385752,0.457385321236537,0,0,0,0,0,0,0,0,0,water
51117,2,7,1.8,0.422451041841204,0.480741079363546,0.38429879706109,0,0,0,0,0,0,0,0,0,water
51119,1,8,3.2,0.46754390673735,0.388202542645508,0.44394556962094,0,0,0,0,0,0,0,0,0,water
51125,1,3,0.2,0.799007650659544,0.460936095733876,0.444082776515859,0,0,0,0,0,0,0,0,0,water
51127,1,1,17.7,0.436927117200597,0.196965126544183,0.4438146359492,0,0,0,0,0,0,0,0,0,water
51131,2,8,-1.7,0.433304312386615,0.4773293663329,0.562213564288595,0,0,0,0,0,0,0,0,0,water
51133,1,9,4.7,0.462433447517453,0.444290107995371,0.489729804453383,0,0,0,0,0,0,0,0,0,water
51135,2,8,-0.1,0.781039759675948,0.434549355717778,0.44758055539925,0,0,0,0,0,0,0,0,0,water
51137,1,6,7.1,0.633462917628241,0.299752797783977,0.301995749178423,0,0,0,0,0,0,0,0,0,water
51139,10,8,0,0.385531831292714,0.412838082141658,0.390396099698451,0,0,0,0,0,0,0,0,0,water
51141,10,8,-1.6,0.429098408396306,0.4204332594268,0.459639286381978,0,0,0,0,0,0,0,0,0,water
51145,1,1,6.4,0.370215535724944,0.204907121191751,0.437662277726498,0,0,0,0,0,0,0,0,0,water
51147,2,6,1.7,0.407719144262841,0.485123884749041,0.333636331039004,0,0,0,0,0,0,0,0,0,water
51155,4,3,-0.7,0.57888972736887,0.42909034562537,0.253041093791646,0,0,0,0,0,0,0,0,0,water
51157,1,1,2.1,0.752976235357318,0.329419922307887,0.47408146857469,0,0,0,0,0,0,0,0,0,water
51159,2,9,3.3,0.397909848242553,0.369238374695613,0.450287814006013,0,0,0,0,0,0,0,0,0,water
51167,4,8,-1.3,0.41592440629728,0.455347627126368,0.446559832554475,0,0,0,0,0,0,0,0,0,water
51169,4,2,-0.9,0.773387366565996,0.485072709555005,0.440069415886433,0,0,0,0,0,0,0,0,0,water
51171,1,6,2.7,0.690300570380865,0.418202984966244,0.344999704586985,0,0,0,0,0,0,0,0,0,water
51173,4,7,-2.2,0.360811700642633,0.449045773536458,0.362568428686581,0,0,0,0,0,0,0,0,0,water
