fips,h,f1,f2,f3,f4,f5,k6,k8,k10,rucc
01001,28.7861217120028,28.7861217120028,-15.5179796447967,-5.99265094624207,-21.1399932318342,38.5520894556174,1,1,1,2
01003,42.9645845313309,42.9645845313309,-21.990463888829,-8.12543416660128,-30.2514248859943,55.5971448053588,1,1,1,3
01005,36.4627951110382,36.4627951110382,-18.6897576325179,-6.3678591274833,-24.7745176193279,46.4244219531244,2,2,2,6
01007,10.4999636034116,10.4999636034116,-5.65848037538322,-2.50321023542187,-7.64701190008477,13.7133305330648,2,2,2,1
01009,75.7284194475307,75.7284194475307,-40.5473545734125,-14.1466767723163,-53.1093006963471,99.6439453863253,1,1,1,1
01011,113.263339900021,113.263339900021,-63.4282937194543,-22.4771730111838,-77.2606927308947,146.95994084809,2,2,2,8
01013,22.2250105280354,22.2250105280354,-12.5549151116929,-4.90154677168777,-15.1296683359324,29.8397298967243,2,2,2,6
01015,-19.8821293827845,-19.8821293827845,12.1627733811598,4.0637343586877,14.0003590750083,-25.3749020095072,2,3,3,3
01017,13.899075177146,13.899075177146,-6.27075903293075,-2.5518203901045,-10.3231961511233,19.5511733637035,2,2,2,6
01019,37.2795051542059,37.2795051542059,-19.3899151198481,-7.00880556589491,-25.9283490064373,48.0825443468652,3,4,4,8
01021,57.4524873325907,57.4524873325907,-30.9866900569598,-10.7427926092452,-41.5344458382085,76.488791070116,1,1,1,1
01023,-20.8550326343401,-20.8550326343401,9.65941408068107,3.50234128526577,12.1386041817101,-25.0645989682314,2,2,2,9
01025,-10.1267152199762,-10.1267152199762,5.06574089041877,1.51359207553379,6.59349447799752,-11.9143588645659,2,2,2,9
01027,70.4468814694836,70.4468814694836,-36.223459833569,-13.9112797222355,-49.6910870658033,91.0941120579201,2,2,2,9
01029,13.1787583009212,13.1787583009212,-7.89226292122158,-3.24870326338207,-10.2341721120309,18.14677172975,3,4,4,8
01031,-5.11183725603245,-5.11183725603245,4.20060633794567,1.97994528235084,4.12493067795157,-7.85612700387764,2,3,3,4
01033,-50.0783224181166,-50.0783224181166,28.5502546593545,9.70869973059568,34.2091448221583,-64.3707638777058,2,3,3,3
01035,63.6907106574853,63.6907106574853,-35.4932892316725,-13.5792521524281,-42.0265489659897,80.9123803182887,2,2,2,9
01037,-23.1134342998839,-23.1134342998839,12.6289225843917,3.82959610252808,12.8824516619583,-30.5906941044243,2,2,2,8
01039,-14.7309842033712,-14.7309842033712,8.80958048439906,2.82563729638731,10.4051100992838,-18.5096284387192,2,2,2,6
01041,32.8905892862194,32.8905892862194,-18.302998678484,-6.96476246550806,-23.5470539275285,43.9167207697448,2,2,2,8
01043,-18.0708276388589,-18.0708276388589,11.0389383439372,4.00082565135888,11.8905674415462,-22.2202473412444,1,1,1,4
01045,-48.7137473132943,-48.7137473132943,27.2205193837252,9.80428508736704,33.7134871879512,-63.6202453149421,2,3,3,4
01047,13.5781974554273,13.5781974554273,-7.67962367850119,-3.73356345896425,-7.92771643577023,17.563501739988,2,2,2,4
01049,-33.0310884614911,-33.0310884614911,20.0530754907367,8.48024824206816,22.7806501765581,-42.0749186046229,1,1,1,6
01051,36.8993508585452,36.8993508585452,-19.5077954404785,-7.80411951673153,-26.5999050493533,48.9012813558252,1,1,1,2
