fips,cropland_acres,land_area_acres,cropland_share_of_land
01109,35248,430122.837092631,0.0819486829349846
01111,20138,371552.186243763,0.0541996541686021
01113,17530,410356.167485576,0.0427189875259184
01115,22860,404205.015985574,0.0565554584825239
01117,17910,502681.953551406,0.0356288899441632
01119,31209,578448.718273562,0.0539529244582759
01121,40156,471562.877998133,0.0851551338614041
01123,12587,458577.66962509,0.0274479130444588
01125,28032,845342.575683385,0.033160520724203
01127,15174,506259.072297825,0.0299727962031925
01129,14578,691363.440823841,0.0210858705265476
01131,25661,568228.845709543,0.0451596222081217
01133,9458,392318.70328053,0.0241079508086491
02010,2737,,
02020,15894,1092482.81139159,0.0145485126486837
02090,51038,4694241.37435031,0.0108724703162636
02110,92,1730689.93082913,5.31579911347409e-05
02122,2947,10251218.7375719,0.000287478013633531
04001,37526,7166920.23854081,0.00523600078569318
04003,143907,3974312.46277204,0.0362092818186788
04005,12466,11914465.8367322,0.00104629113640726
04007,2570,3044849.46772509,0.000844048294420326
04009,39511,2958001.14629957,0.013357330861561
04011,4659,1179415.97348441,0.00395026021755129
04012,99798,2877810.65557936,0.034678445507357
04013,264018,5889289.93403922,0.0448301922569672
04015,33338,8532554.77154811,0.0039071533547216
04017,35267,6367674.80942648,0.00553844237582484
04019,39294,5880756.90510754,0.00668179294503272
04021,295876,3434669.18736862,0.0861439585180772
04023,3974,791206.627500698,0.00502270817997729
04025,7714,5198676.51759911,0.0014838391990511
04027,201881,3528844.42426854,0.0572088127806445
05001,360977,634969.752304198,0.568494796311282
05003,111754,592314.648525823,0.188673368585663
05005,16350,354515.920640653,0.0461192263818607
05007,70047,542548.924319622,0.129107250720001
05009,46147,377422.659390175,0.122268758517473
05011,6823,415466.929717321,0.0164224863929418
05013,3214,402304.324638363,0.00798897700860936
05015,45315,403153.632751811,0.11240131879922
05017,253653,407665.660869342,0.622208403472317
05019,22802,554221.581557775,0.0411423891792691
05021,214201,409103.206307525,0.523586705499894
05023,34156,354533.869140002,0.0963405839979485
05025,8335,382662.688624357,0.0217815853172508
05027,9487,490281.509189863,0.0193501076874717
05029,64146,353226.919389888,0.181599975762879
05031,269905,452583.808854572,0.596364683666199
05033,56120,380971.91947594,0.147307444803801
05035,341923,392233.492696473,0.871733307753489
05037,256027,394443.246156861,0.649084507072999
05039,2381,427086.636720223,0.00557498126910431
05041,242899,474385.10784429,0.512029142533134
05043,57619,530346.854428207,0.108643993113001
05045,61960,414235.579387471,0.149576721757267
05047,53910,389739.08199165,0.138323310365767
05049,33400,395516.220223289,0.0844465998920196
05051,8531,433673.31293687,0.0196714894495753
05053,14885,404408.144021917,0.0368068749851717
05055,190252,369497.745928494,0.514893533442063
05057,60727,465407.985569768,0.130481216229361
05059,18358,393564.073134171,0.0466455178538146
05061,27537,375892.262869555,0.0732576930149693
05063,88264,488775.366309493,0.180581932077385
05065,31381,371328.653480583,0.0845100417267985
05067,263397,405510.925916244,0.649543534258318
05069,251794,558301.173775924,0.451000305618305
05071,39286,423033.476376259,0.0928673549349505
05073,57872,338862.377675896,0.17078319640238
05075,196029,376017.875677616,0.521328938542454
05077,289708,383876.587136674,0.754690464872904
05079,175838,358057.907673738,0.491088162644974
05081,54739,340002.938276397,0.160995667500677
05083,73483,453833.693817735,0.161916140209527
05085,325410,493727.829868905,0.659087821900587
05087,58279,533912.042185515,0.109154683534465
05089,19400,381822.985744174,0.0508088845468257
05091,93039,399385.859107365,0.232955168237413
05093,509082,577339.450110089,0.881772412924367
05095,160038,388774.987745304,0.411646852407194
05097,17806,499489.893189671,0.0356483689515587
05099,25607,395385.36556878,0.0647646631107936
05101,13714,525488.453508916,0.02609762385534
05103,4820,468941.686665218,0.0102784634786394
05105,29477,352854.968215929,0.0835385715242688
05107,370463,441830.390305583,0.838473333044783
05109,21794,384214.575899963,0.056723511722456
05111,323983,485308.889985838,0.667581012186804
05113,25484,548376.454998713,0.0464717253406873
05115,62796,519009.23675062,0.120992066332286
05117,219326,414410.52777327,0.529248137537655
05119,38331,485354.462148624,0.0789752706306889
05121,113809,417224.090645294,0.272776674577872
05123,265707,406261.750180094,0.654029083176581
05125,25131,463050.42948521,0.0542727063830587
05127,30934,571423.948432729,0.054134937964788
05129,26199,426162.511769254,0.0614765477405143
05131,37024,339956.953447626,0.108907906205554
05133,31925,360684.112280623,0.0885123544758783
05135,24900,386970.380854442,0.0643460100099136
05137,26858,388121.821504868,0.0691999225806558
05139,8280,665002.608201306,0.012451078985082
05141,27324,454124.845238687,0.0601684763264573
05143,86582,602527.968349349,0.143697893787728
05145,159308,661738.098518704,0.240741768316816
05147,202036,375022.621689832,0.538730168035295
05149,70003,595447.01835883,0.117563776191108
06001,14619,471973.874046238,0.0309741720970085
06003,,472537.793236218,
06005,9434,380534.151783752,0.024791467351296
06007,207138,1047353.35494637,0.197772794655922
06009,4685,652810.316516923,0.00717666354446859
06011,276014,736434.687642872,0.374797663162019
06013,26729,458813.621657613,0.058256770806919
06015,6866,643968.937382662,0.0106620049530744
06017,9246,1093018.26898378,0.00845914497714328
06019,1182023,3813364.6579121,0.309968520201051
06021,241032,840939.220805837,0.28662237892654
06023,15970,2283535.72229001,0.00699354069398342
06025,702024,2672338.00480149,0.262700301660436
06027,13854,6526246.60881991,0.00212281282495163
06029,994576,5206190.48344534,0.191037189892025
06031,452269,890222.320280037,0.508040508193201
06033,19386,803252.490219725,0.0241343789605895
06035,84824,2906475.88895373,0.0291844843173754
06037,30500,2598557.25123118,0.0117372822882964
06039,390554,1367627.3524066,0.285570480374457
06041,18725,332890.273792859,0.0562497659864091
06043,3797,927257.255072156,0.0040948722474051
06045,60650,2244356.08428195,0.0270233410931333
06047,550570,1240322.51248829,0.443892612168641
06049,170943,2526869.22819045,0.0676501174231388
06051,18647,1951298.59447495,0.00955620019037503
06053,363670,2100299.29203427,0.173151512919744
06055,68190,481264.045973471,0.141689371085408
06057,4133,612966.469623156,0.00674262003685278
06059,5114,507430.700963668,0.0100782234702944
06061,22264,900533.634931611,0.0247231187557928
06063,17908,1633959.81184265,0.0109598778808426
06065,234583,4613921.93687624,0.0508424293278832
06067,134941,617779.02137453,0.218429236557374
06069,48007,888737.010607234,0.0540171045281427
06071,18906,12843626.2173866,0.00147201418664821
06073,55411,2694693.96320124,0.0205630029816717
06075,,29887.8082508309,
06077,614128,891032.063609617,0.689232211815292
06079,231838,2112538.7109156,0.109743787795263
06081,7003,287107.529531365,0.0243915581434968
06083,151355,1749722.29862653,0.0865022981754355
06085,25318,826293.884104516,0.0306404301024665
06087,21984,284867.553106037,0.0771727062640119
06089,46940,2416416.6567375,0.0194254578858
06091,5087,610027.714269324,0.00833896539617562
06093,169826,4018410.70175942,0.0422619818142639
06095,162145,525911.201147625,0.308312505316816
06097,131237,1008215.55805695,0.130167600520788
06099,432109,957536.061626819,0.451271776924895
06101,199339,385725.446153376,0.516789861773176
06103,99441,1887447.58111029,0.052685436668659
06105,1558,2034731.2098484,0.0007657031024339
06107,759238,3087295.30487525,0.245923348764552
06109,2542,1421383.07484454,0.00178839895098513
06111,139944,1178095.90787489,0.118788291398481
06113,271083,648312.579986208,0.418136263846318
06115,99158,404483.799782207,0.245147024561654
08001,474220,746713.579597405,0.635076169708442
08003,69773,462493.063529934,0.150862803146634
08005,144975,510645.726311093,0.283905244928417
08007,20400,864056.39177966,0.0236095701554652
08009,692426,1635195.28809105,0.423451562662188
08011,106434,968221.930954646,0.109927276585295
08013,30777,464886.243314639,0.06620329261748
08014,,21099.6210208842,
08015,12151,648581.371335444,0.0187347348182092
08017,519454,1138096.70236861,0.456423429502003
08019,,252846.642001372,
08021,79147,823954.086742374,0.0960575367893611
08023,41930,785659.773198353,0.0533691572744097
08025,56676,503953.603062317,0.112462733981072
08027,12920,472720.497518611,0.0273311609456735
08029,66410,730960.200869512,0.0908530996913404
08031,,97967.4351815403,
08033,81279,682989.020187532,0.119004841362871
08035,19894,538168.171429958,0.0369661400583018
08037,17892,1078060.90465761,0.0165964649331965
08039,163715,1184054.89713404,0.138266393218985
08041,34493,1360906.25827585,0.025345610537275
08043,14954,981654.212020105,0.0152334700110203
08045,63548,1886352.23115741,0.0336883000694992
08047,401,96014.463254661,0.00417645411333936
08049,40239,1181726.32527514,0.034051031223859
08051,40878,2073049.61196627,0.0197187755488531
08053,299,715027.706570674,0.000418165614076728
08055,15360,1018261.05675518,0.0150845403524973
08057,88555,1032784.41013227,0.085743935647381
