fips,name,rural_raw_value,cropland_share_of_land,gcd_funding,pgma,moratorium,dist_km,land_score,permissive_score,infra_score,siting_risk,is_lit,is_peer
48001,Anderson,0.6786195228,0.101490315884535,0,0,0,48.5070932404945,0.644182867932808,1,0.615653525430276,0.68158690333309,FALSE,FALSE
48003,Andrews,0.1831810854,0.0744847021070497,0,0,0,49.0680279708181,0.176358991111167,1,0.612209778603386,0.449009534497595,FALSE,FALSE
48005,Angelina,0.5190578158,0.0251883157674368,0,0,0,154.290127312309,0.512520719717037,1,0.213760024691584,0.4463582565514,FALSE,FALSE
48007,Aransas,0.2357532522,0.010953115787137,0,0,0,210.066220138607,0.23446213586573,1,0.122375364279759,0.270291695570044,FALSE,FALSE
48009,Archer,0.8735981308,0.214141006448208,0,0,0,108.322362271502,0.780061539319607,1,0.33850256039484,0.631354264388252,FALSE,FALSE
48011,Armstrong,1,0.193421312037774,0,0,0,78.437162906068,0.903289343981113,1,0.456406404219398,0.742159417861776,FALSE,FALSE
48013,Atascosa,0.7145219575,0.104672990407402,0,0,0,61.6850851570648,0.677126382498362,1,0.539641174711687,0.665674227391824,FALSE,FALSE
48015,Austin,0.7883448802,0.12015259953441,0,0,0,84.9728332104901,0.740984036857164,1,0.427531062637399,0.64974831217789,FALSE,FALSE
48017,Bailey,0.2527520278,0.418273018960677,0,0,0,92.5299488872931,0.199892350941831,1,0.396412680108599,0.369255490179925,FALSE,FALSE
48019,Bandera,1,0.0157713041275826,0,0,0,77.5315436531931,0.992114347936209,1,0.460558481113691,0.787799862982604,FALSE,FALSE
48021,Bastrop,0.7200460829,0.0694887716391823,2,0,0,0,0.695028523987837,0,1,0.375429253008626,TRUE,FALSE
48023,Baylor,1,0.276490315097282,0,0,0,68.272044413009,0.861754842451359,1,0.505240642133303,0.742319195453092,FALSE,FALSE
48025,Bee,0.5416626405,0.111993685049867,0,0,0,137.132178477452,0.511331242918282,1,0.253771306721834,0.462713573076721,FALSE,FALSE
48027,Bell,0.1369065445,0.231838735647836,2,0,0,0,0.121036424410603,0,1,0.0918598511746872,TRUE,FALSE
48029,Bexar,0.0470765292,0.0965838171284086,2,0,0,0,0.0448031137563535,0,1,0.0541982974390724,TRUE,FALSE
48031,Blanco,1,0.038775457298622,0,0,0,59.4842837531857,0.980612271350689,1,0.551649257614183,0.820690281630205,FALSE,FALSE
48033,Borden,1,0.133265811894615,0,0,0,0,0.933367094052693,1,1,0.987205839898628,TRUE,FALSE
48035,Bosque,1,0.115083158869169,2,0,0,0,0.942458420565415,0,1,0.497667081403852,TRUE,FALSE
48037,Bowie,0.379436556,0.117573401689721,0,0,0,202.10570491533,0.357130732692824,1,0.132515315818457,0.335187487821552,FALSE,FALSE
48039,Brazoria,0.2259542888,0.14251116027321,0,0,0,74.7388482217702,0.209853784867202,1,0.473601758572246,0.406862794724701,FALSE,FALSE
48041,Brazos,0.1185038208,0.0701786300415545,2,0,0,0,0.114345602900783,0,1,0.0885543836347774,TRUE,FALSE
48043,Brewster,0.3418185627,0.0060738703657413,0,0,0,119.010415714479,0.340780481880778,1,0.304189578898601,0.399806195203088,FALSE,FALSE
48045,Briscoe,1,0.16468911110714,0,0,0,48.3714985035224,0.91765544444643,1,0.616488885432851,0.817044337627301,FALSE,FALSE
48047,Brooks,0.3644714528,0.0187628293381945,0,0,0,269.580652617776,0.361052194966235,1,0.0674879290369462,0.309588674544654,FALSE,FALSE
48049,Brown,0.4339939625,0.100355782037068,0,0,0,102.286044547942,0.412217060746973,1,0.359564951821614,0.458546964830292,FALSE,FALSE
48051,Burleson,1,0.179093709303114,0,0,0,35.646328624878,0.910453145348443,1,0.700148176063716,0.848912080500235,FALSE,FALSE
48053,Burnet,0.6732342764,0.0654638467996966,0,0,0,57.9514108337679,0.651198023634723,1,0.56017048261757,0.661558062445837,FALSE,FALSE
48055,Caldwell,0.5459320445,0.167084475440892,0,0,0,41.4979155255567,0.500323659859172,1,0.660354045472834,0.629444749946629,FALSE,FALSE
