site_id,name,operator,county_fips,lat,lon,status,status_date,mw,cooling,water_source,power_source,confidence,source_url,notes,assign_pattern
COMP-041,Rellis Campus Data and Research Center,Rellis Campus Data and Research Center LLC,48041,,,operating,09/15/2020,15,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,owner=Rellis Campus Data and Research Center LLC; occupant=Rellis Campus Data and Research Center LLC; operator=Rellis Campus Data and Research Center LLC; addr_guess=NA; verify county/MW,Rellis|Texas A.?M
COMP-042,San Antonio Data Center II,CyrusOne LLC,48029,,,operating,05/04/2016,50,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,owner=CyrusOne LLC; occupant=Microsoft Corporation; operator=CyrusOne LLC; addr_guess=NA; verify county/MW,San Antonio|SAT\d+|Microsoft.*Texas|Schertz|Selma|Universal City
COMP-043,San Antonio Data Center III,CyrusOne LLC,48029,,,operating,05/25/2017,50,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,owner=CyrusOne LLC; occupant=Microsoft Corporation; operator=CyrusOne LLC; addr_guess=NA; verify county/MW,San Antonio|SAT\d+|Microsoft.*Texas|Schertz|Selma|Universal City
COMP-044,SDC - Austin Tandem Data Center,SDC - Austin LLC,48453,,,operating,03/13/2024,25,unknown,unknown,unknown,med,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,"owner=SDC - Austin LLC; occupant=Cirrascale Cloud Services, LLC; operator=SDC - Austin LLC; addr_guess=NA; verify county/MW",\bAustin\b
COMP-045,"SDC DFW VIII, L.P.","SDC DFW VIII, L.P. Jones Lang La Salle Amercias, Inc. Design, LLC",48113,,,operating,03/27/2023,,unknown,unknown,unknown,low,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,"owner=SDC DFW VIII, L.P.; occupant=GOOGLE LLC; operator=SDC DFW VIII, L.P. Jones Lang La Salle Amercias, Inc. Design, LLC; addr_guess=NA; verify county/MW",DFW\s*\d+|DFW\s*[IVX]+|Stream DFW
COMP-047,State Farm Richardson Data Center,State Farm Mutual Auto Ins. Co.,48085,,,operating,06/01/2015,30,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,owner=JDM III SF Dallas DC LLC; occupant=State Farm Mutual Auto Ins. Co.; operator=State Farm Mutual Auto Ins. Co.; addr_guess=NA; verify county/MW,Plano|Frisco|McKinney|Allen|Richardson|ALE\d+
COMP-048,Stream DFW VII Data Center,"SDC Technology Services, LLC",48113,,,operating,02/07/2022,30,unknown,unknown,unknown,low,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,"owner=SDC DFW VII LP; occupant=OBOE LLC; operator=SDC Technology Services, LLC; addr_guess=NA; verify county/MW",DFW\s*\d+|DFW\s*[IVX]+|Stream DFW
COMP-049,Switch AUS 4,"Switch, LTD Coreweave Compute Acquistion Co. III, LLC",48453,,,operating,06/26/2025,50,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,"owner=Switch, LTD; occupant=Coreweave, Inc.; operator=Switch, LTD Coreweave Compute Acquistion Co. III, LLC; addr_guess=NA; verify county/MW",\bAUS\s*\d
COMP-050,Temple Green Data Center,Temple Green Data LLC,48027,,,operating,07/23/2021,30,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,owner=Temple Green Data LLC; occupant=Rhodium Renewables LLC; operator=Temple Green Data LLC; addr_guess=NA; verify county/MW,Temple|Belton|Killeen|Bell County
COMP-051,TX11 Data Center,"Vantage Data Centers TX11, LLC Vantage Data Centers Management Company LLC",48085,,,operating,03/06/2024,30,unknown,unknown,unknown,low,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,"owner=Vantage Data Centers TX11, LLC; occupant=Microsoft Corporation; operator=Vantage Data Centers TX11, LLC Vantage Data Centers Management Company LLC; addr_guess=NA; verify county/MW",Vantage.*TX\s*\d|TX\s?\d+\s*Data Center|TX\s?\d{3}\s*Data Center
